ISIN;Currency;Exchange;ETF Underlying Index Ticker;Dvd Freq;Code;Type;Name;GICS Sector;GICS Ind Name;Name
FR0010150458;EUR;FP;CACR;Annual;E40;ETP;BNP P CAC 40 UCITS ETF;#N/A N/A;#N/A N/A;BNPP CAC 40
IE00B14X4T88;USD;LN;DJAPSDT;Quarter;IDAP;ETP;ISHARES ASIA PAC DIVIDEND;#N/A N/A;#N/A N/A;ISHR APAC DIV
IE00B1FZS806;EUR;IM;BCEX4T;Semi-Anl;IBGM;ETP;ISHARES EURO GOVT 7-10YR;#N/A N/A;#N/A N/A;ISHR € GOVT 7-10
LU1686832194;EUR;FP;I35202EU;None;MTH;ETP;LYXOR EUR GOV BOND 25+Y DR;#N/A N/A;#N/A N/A;LYX EU GOV 25+Y
IE0005042456;GBp;LN;UKXNUK;Quarter;ISF;ETP;ISHARES CORE FTSE 100;#N/A N/A;#N/A N/A;ISH CORE FTSE100
LU1681040900;USD;FP;IBXXFRN3;None;AFLT;ETP;AMUNDI FLOAT RATE USD CORP;#N/A N/A;#N/A N/A;AMUNDI F RT USD
LU1048313891;USD;SW;NU734917;Semi-Anl;MSRUSA;ETP;UBS ETF MSCI EMERG. MAR. SRI;#N/A N/A;#N/A N/A;UBS-MSCI EM ESG
FR0010754127;EUR;IM;GBB0VMH7;None;CI3;ETP;AMUNDI ETF EURO INFLATION UC;#N/A N/A;#N/A N/A;AMUNDI ETF EURO
FR0007056841;EUR;IM;DJINR;Semi-Anl;DJE;ETP;LYXOR DJ INDUSTRIAL AVERAG;#N/A N/A;#N/A N/A;LYXETF DJ IND AV
IE00B14X4N27;GBp;LN;MSDE15XN;Quarter;IEUX;ETP;ISHARES MSCI EUROPE EX-UK;#N/A N/A;#N/A N/A;ISH MSCI ERP XUK
IE00BWBXM948;USD;LN;SPSDTUN;None;SXLK;ETP;SPDR S&P US TECH SELECT;#N/A N/A;#N/A N/A;SPDR US TECH
IE00BCRY5Y77;USD;LN;IBXXSIG1;Quarter;SDIG;ETP;ISHARES USD SHORT DUR USD D;#N/A N/A;#N/A N/A;ISH $ SHT DR $D
LU1834983477;EUR;FP;SX7R;Irreg;BNK;ETP;LYXOR EURSTX600 BANKS;#N/A N/A;#N/A N/A;LYX STX600 BANKS
IE00B3VWN393;USD;LN;IDCOT34;None;CBU7;ETP;ISHARES USD TREASURY 3-7YR;#N/A N/A;#N/A N/A;ISHR $ TRES 3-7Y
